gene,mean_expression
HES1,0.31708235
CD59,0.31705728
AKAP8L,0.31670672
PMP22,0.31658152
CTDNEP1,0.31648138
DYNLT1,0.31633112
MCM7,0.31623098
GNG12,0.31613082
HMGA1,0.31608072
COA3,0.31522936
REX1BD,0.31510416
PPP1R16A,0.31452826
THY1,0.31435296
CCT3,0.3143029
TRA2B,0.31410256
PILRB,0.31372696
CDK10,0.31315103
NHP2,0.313126
WDR13,0.31234977
SLC38A10,0.3121244
BTG1,0.31192407
TMED2,0.31152344
DPYSL2,0.31134817
GRK2,0.3108724
PSMC5,0.31084734
RANBP1,0.31054688
HNRNPR,0.3103215
KIF22,0.31029648
SUN1,0.31022134
PDXK,0.31017128
BRD2,0.30999598
HNRNPF,0.30997095
POLR2H,0.30989584
GSDMD,0.3094451
RCN1,0.30942008
TMEM98,0.30926985
CD46,0.30916968
UBE2S,0.30914465
OCIAD1,0.3090695
SDHA,0.3090695
SHISA5,0.30904448
KLC1,0.30899438
SREBF2,0.30794272
PI4KA,0.30791765
SPPL2B,0.307492
SEC11A,0.30734175
PPP1R14A,0.3070663
DDR1,0.3066907
PKD1,0.30666566
ANAPC16,0.30666566
CBX5,0.30641526
SH3BGRL,0.3056891
TRIOBP,0.30551383
ENSA,0.30533853
UBE2I,0.30526343
EMC10,0.30503806
FASTK,0.30476263
PDIA4,0.30451223
PSMA4,0.30428687
PTP4A2,0.30423677
MEIS1,0.3041366
MIDN,0.30348557
SLIRP,0.30336037
FKBP2,0.3027594
PSMA1,0.30273438
GNS,0.30253404
RBFOX2,0.30233374
APOA4,0.30210838
PABPN1,0.30168268
MAOA,0.30168268
PDCD5,0.30160758
LRP10,0.30155748
MRPS34,0.30095652
CAPZA1,0.30058092
